ID,SMILES,Name,HOMO,LUMO,Voc (V),Jsc (mA cm^2),FF,PCE(%),ref
2572,CC(C=C1)=CC=C1N(C2=CC=C(C3=CC=C(/C=C(C4=C(F)C(F)=C(C(F)(F)F)C(F)=C4F)\C#N)C5=NSN=C35)S2)C6=CC=C(C)C=C6,TFTF,,,0.97,3.58,48,1.66,"	Zhang Z, Liu W, Yan J, Shi M, Chen H. A bipolar diketopyrrolopyrrole molecule end capped with thiophene-2, 3-dicarboxylate used as both electron donor and acceptor for organic solar cells. Synthetic Metals 222, 211-218 (2016)."
2573,CC(C=C1)=CC=C1N(C2=CC=C(C3=CC=C(/C=C(C4=C(F)C(F)=C(C#N)C(F)=C4F)\C#N)C5=NSN=C35)S2)C6=CC=C(C)C=C6,CNTF,,,0.82,3.9,39,1.2,"	Fang L, et al. Fluorine-containing low-energy-gap organic dyes with low voltage losses for organic solar cells. Synthetic Metals 222, 232-239 (2016)."
2574,CC(C=C1)=CC=C1N(C2=CC=C(C3=CC=C(/C=C(C4=C(F)C(F)=NC(F)=C4F)\C#N)C5=NSN=C35)S2)C6=CC=C(C)C=C6,PRTF,,,0.88,5.4,53,2.4,"	Fang L, et al. Fluorine-containing low-energy-gap organic dyes with low voltage losses for organic solar cells. Synthetic Metals 222, 232-239 (2016)."
2575,CCCCCCC1(CCCCCC)C2=CC(C3=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C4=O)=C5C4=C(C6=CC=C(C7=CC=C(C(C=CC(C)=C8)=C8C9(CCCCCC)CCCCCC)C9=C7)S6)N(CC(CCCCCC)CCCCCCCC)C5=O)S3)=CC=C2C%10=C1C=C(C%11=CC(CCCCCC)=C(C%12=CC=C(C%13=CC=C(C%14=C(CCCCCC)C=C(C)S%14)S%13)S%12)S%11)C=C%10,P4TFDPP,,,0.9,4.7,55,2.3,"	Fang L, et al. Fluorine-containing low-energy-gap organic dyes with low voltage losses for organic solar cells. Synthetic Metals 222, 232-239 (2016)."
2576,CC1=CC(CCCCCC)=C(S1)C(S2)=CC=C2C3=CC=C(S3)C(S4)=C(CCCCCC)C=C4C5=CC=C(C6=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C7=O)=C8C7=C(C9=CC=C(C%10=CC=C(C)C=C%10)S9)N(CC(CCCCCC)CCCCCCCC)C8=O)S6)C=C5,P5TDPP,,,0.88,9.4,59,4.9,"	SambathKumar B, et al. Two Donor每One Acceptor Random Terpolymer Comprised of Diketopyrrolopyrrole Quaterthiophene with Various Donor 羽-Linkers for Organic Photovoltaic Application. The Journal of Physical Chemistry C 120, 26609-26619 (2016)."
2577,CC1=CC(CCCCCC)=C(S1)C(S2)=CC=C2C3=CC=C(S3)C4=C(CCCCCC)C=C(C5=CC=C(S5)C6=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C7=O)=C8C7=C(C9=CC=C(C%10=CC=C(C)S%10)S9)N(CC(CCCCCC)CCCCCCCC)C8=O)S6)S4,P4TPDPP,,,0.77,8.57,61,4.1,"	SambathKumar B, et al. Two Donor每One Acceptor Random Terpolymer Comprised of Diketopyrrolopyrrole Quaterthiophene with Various Donor 羽-Linkers for Organic Photovoltaic Application. The Journal of Physical Chemistry C 120, 26609-26619 (2016)."
2578,CC1=CC(CCCCCC)=C(S1)C(S2)=CC=C2C3=CC=C(S3)C4=C(CCCCCC)C=C(/C=C/C5=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C6=O)=C7C6=C(C8=CC=C(/C=C/C)S8)N(CC(CCCCCC)CCCCCCCC)C7=O)S5)S4,P4TVDPP,,,0.72,10.05,50,3.8,"	SambathKumar B, et al. Two Donor每One Acceptor Random Terpolymer Comprised of Diketopyrrolopyrrole Quaterthiophene with Various Donor 羽-Linkers for Organic Photovoltaic Application. The Journal of Physical Chemistry C 120, 26609-26619 (2016)."
2579,O=C1N(CC(CC)CCCC)C(C2=CC=C(C3=CC(C(C(C=CC=C4)=C4S5)=C5N6CCCCCCCCCCCC)=C6C=C3)S2)=C7C(N(CC(CC)CCCC)C(C8=CC=C(S8)C9=CC=C(C%10=CC=C(C(N(CC(CC)CCCC)C%11=O)=C%12C%11=C(C%13=CC=C(C%14=CC(C(C(C=CC=C%15)=C%15S%16)=C%16N%17CCCCCCCCCCCC)=C%17C=C%14)S%13)N(CC(CC)CCCC)C%12=O)S%10)S9)=C71)=O,3T(DPP-BTI)2,,,0.69,9.43,44,2.9,"	SambathKumar B, et al. Two Donor每One Acceptor Random Terpolymer Comprised of Diketopyrrolopyrrole Quaterthiophene with Various Donor 羽-Linkers for Organic Photovoltaic Application. The Journal of Physical Chemistry C 120, 26609-26619 (2016)."
2580,CCCCCCCCCCC(CCCCCCCC)/C(C1=CC=C(/C(C#CC2=CC(CCCCCC)=C(C3=CC=C(C4=C(CCCCCC)C=C(/C=C5C(N(CC)C(S/5)=S)=O)S4)S3)S2)=C6N=C7C=C\6)N1[Zn]N8/C(C=C/C8=C7\C(CCCCCCCC)CCCCCCCCCC)=C9/C#CC%10=CC(CCCCCC)=C(C%11=CC=C(C%12=C(CCCCCC)C=C(/C=C%13C(N(CC)C(S/%13)=S)=O)S%12)S%11)S%10)=C%14C=CC9=N\%14,PTTR,,,0.52,10.41,55.8,3.02,"	Qi H, et al. Novel D (A-Ar) 2 type small molecules with oligothiophene, diketopyrrolopyrrole and benzo [4, 5] thieno [2, 3-b] indole units: investigation on relationship between structure and property for organic solar cells. Tetrahedron 72, 7430-7437 (2016)."
2581,CCCCCCCCCCC(CCCCCCCC)/C(C1=CC=C(/C(C#CC2=CC(CCCCCC)=C(C3=CC=C(C4=C(CCCCCC)C=C(/C=C5C(N(CC)/C(S/5)=C(C#N)\C#N)=O)S4)S3)S2)=C6N=C7C=C\6)N1[Zn]N8/C(C=C/C8=C7\C(CCCCCCCC)CCCCCCCCCC)=C9/C#CC%10=CC(CCCCCC)=C(C%11=CC=C(C%12=C(CCCCCC)C=C(/C=C%13C(N(CC)/C(S/%13)=C(C#N)/C#N)=O)S%12)S%11)S%10)=C%14C=CC9=N\%14,PTTCNR,,,0.8,14.93,64,7.66,"	Xiao L, et al. New Terthiophene-Conjugated Porphyrin Donors for Highly Efficient Organic Solar Cells. ACS applied materials & interfaces 8, 30176-30183 (2016)."
2582,CCCCCCCCC(C=C(C1=C(CCCCCCCC)C=C(/C=C2SC(N(CC)C\2=O)=S)S1)S3)=C3C4=CC=C(S4)C5=CC=C(C6=CC=C(C7=C(CCCCCCCC)C=C(C8=C(CCCCCCCC)C=C(/C=C9C(N(CC)C(S/9)=S)=O)S8)S7)S6)S5,DERHD7T,,,0.82,14.3,70,8.21,"	Xiao L, et al. New Terthiophene-Conjugated Porphyrin Donors for Highly Efficient Organic Solar Cells. ACS applied materials & interfaces 8, 30176-30183 (2016)."
2583,FC(C(F)=C(C1=CC=C(C2=CC(C(C=CC=C3)=C3N4CCCCCCCC)=C4C=C2)S1)C5=NSN=C56)=C6C(C=C7)=CC=C7C(C8=CC=C(C9=C(F)C(F)=C(C%10=CC=C(C%11=CC=C(N(CCCCCCCC)C%12=C%13C=CC=C%12)C%13=C%11)S%10)C%14=NSN=C9%14)C=C8)C%15=CC=C(C%16=C(F)C(F)=C(C%17=CC=C(C%18=CC(C(C=CC=C%19)=C%19N%20CCCCCCCC)=C%20C=C%18)S%17)C%21=NSN=C%21%16)C=C%15,TPA(F2BT-T-3Cz)3,,,,,,6.1,"	Li Y. Photovoltaic efficiency of solution-processable organic molecules reached near 10%. Sci. China: Chem 58, 191-191 (2015)."
2584,FC(C=C(C1=CC=C(C2=CC(C(C=CC=C3)=C3N4CCCCCCCC)=C4C=C2)S1)C5=NSN=C56)=C6C(C=C7)=CC=C7C(C8=CC=C(C9=C(F)C=C(C%10=CC=C(C%11=CC=C(N(CCCCCCCC)C%12=C%13C=CC=C%12)C%13=C%11)S%10)C%14=NSN=C9%14)C=C8)C%15=CC=C(C%16=C(F)C=C(C%17=CC=C(C%18=CC(C(C=CC=C%19)=C%19N%20CCCCCCCC)=C%20C=C%18)S%17)C%21=NSN=C%21%16)C=C%15,TPA(F1BT-T-3Cz)3,,,0.96,10.55,49,4.81,"	Wang Q, et al. Photovoltaic Small Molecules of TPA (F x BT-T-Cz) 3: Tuning Open-Circuit Voltage over 1.0 V for Their Organic Solar Cells by Increasing Fluorine Substitution. ACS applied materials & interfaces 8, 30320-30327 (2016)."
2585,O=C(OC(CC)CCCCC)C1=C(C2=CC=C(C3=CC=C(C4=C5C(C(N4CC(CC)CCCC)=O)=C(C6=CC=C(C7=CC=CC=C7)S6)N(CC(CC)CCCC)C5=O)S3)S2)SC(C8=CC=C(C9=CC=C(C%10=C%11C(C(N%10CC(CC)CCCC)=O)=C(C%12=CC=C(C%13=CC=CC=C%13)S%12)N(CC(CC)CCCC)C%11=O)S9)S8)=C1,3EhT(DPP)2,,,1.01,10.86,44,4.99,"	Wang Q, et al. Photovoltaic Small Molecules of TPA (F x BT-T-Cz) 3: Tuning Open-Circuit Voltage over 1.0 V for Their Organic Solar Cells by Increasing Fluorine Substitution. ACS applied materials & interfaces 8, 30320-30327 (2016)."
2586,CC(C=C(C)C=C1C)=C1/C(C2=CC=C(/C(C#CC3=C(CCCCCC)C(CCCCCC)=C(/C=C4C(N(CC)C(S/4)=S)=O)S3)=C5N=C6C=C\5)N2[Zn]N7/C(C=C/C7=C6\C8=C(C)C=C(C)C=C8C)=C9/C#CC%10=C(CCCCCC)C(CCCCCC)=C(/C=C%11C(N(CC)C(S/%11)=S)=O)S%10)=C%12C=CC9=N\%12,1a,,,0.7,8.31,56,3.29,"	Ko EY, Choi S, Park GE, Lee DH, Cho MJ, Choi DH. Diketopyrrolopyrrole-based conjugated small molecules bearing two different acceptor moieties for organic solar cells. Synthetic Metals 221, 39-47 (2016)."
2587,CC(C=C(C)C=C1C)=C1/C(C2=CC=C(/C(C#CC3=C(CCCCCC)C(CCCCCC)=C(/C=C/C4=C(CCCCCC)C(CCCCCC)=C(/C=C5SC(N(CC)C\5=O)=S)S4)S3)=C6N=C7C=C\6)N2[Zn]N8/C(C=C/C8=C7\C9=C(C)C=C(C)C=C9C)=C%10/C#CC%11=C(CCCCCC)C(CCCCCC)=C(/C=C/C%12=C(CCCCCC)C(CCCCCC)=C(/C=C%13SC(N(CC)C\%13=O)=S)S%12)S%11)=C%14C=CC%10=N\%14,1b,,,0.85,11.36,31,3.01,"	Montcada NF, et al. High photo-current in solution processed organic solar cells based on a porphyrin core A-羽-D-羽-A as electron donor material. Organic Electronics 38, 330-336 (2016)."
2588,CCCCCCCCC(C=C(C1=C(CCCCCCCC)C=C(/C=C2S/C(N(CC)C\2=O)=C(C#N)/C#N)S1)S3)=C3C4=CC=C(S4)C5=CC=C(C6=CC=C(C7=C(CCCCCCCC)C=C(C8=C(CCCCCCCC)C=C(/C=C9C(N(CC)/C(S/9)=C(C#N)\C#N)=O)S8)S7)S6)S5,DRCN7T,,,0.8,13.2,40,4.24,"	Montcada NF, et al. High photo-current in solution processed organic solar cells based on a porphyrin core A-羽-D-羽-A as electron donor material. Organic Electronics 38, 330-336 (2016)."
2589,N#C/C(C1=CC=C([N+]([O-])=O)C=C1)=C/C(C=C2)=CC=C2N(C3=CC=CC=C3)C(C=C4)=CC=C4/C=C/C5=CC=C(C6=CC(CCCCCCCCCCCC)=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)S6)C%10=NSN=C%105,SM3,,,,,,9.3,"	Li Y. Photovoltaic efficiency of solution-processable organic molecules reached near 10%. Sci. China: Chem 58, 191-191 (2015)."
2590,N#C/C(C1=CC=C([N+]([O-])=O)C=C1)=C\C(C=C2)=CC=C2N(C3=CC=CC=C3)C(C=C4)=CC=C4/C=C/C5=CC=C(C6=CC7=C(C(OCC(CC)CCCC)=C(C=C(C8=CC=C(/C=C/C9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=C(/C=C(C#N)/C%12=CC=C([N+]([O-])=O)C=C%12)C=C%11)C=C9)C%13=NSN=C8%13)S%14)C%14=C7OCC(CC)CCCC)S6)C%15=NSN=C%155,SM4,,,0.85,5.22,33,1.46,"	Jia T, Peng Z, Li Q, Xie Y, Hou Q, Hou L. Synthesis of triphenylamine-based molecules with cyan terminals and their application for organic solar cells. Synthetic Metals 199, 14-20 (2015)."
2591,O=C1N(CC(CC)CCCC)C(C2=CC=C(C3=CC(C(C(C=CC=C4)=C4S5)=C5N6CCCCCCCCCCCC)=C6C=C3)S2)=C7C(N(CC(CC)CCCC)C(C8=CC=C(C9=CC=C(S9)C%10=CC=C(C%11=CC=C(C(N(CC(CC)CCCC)C%12=O)=C%13C%12=C(C%14=CC=C(C%15=CC(C(C(C=CC=C%16)=C%16S%17)=C%17N%18CCCCCCCCCCCC)=C%18C=C%15)S%14)N(CC(CC)CCCC)C%13=O)S%11)S%10)S8)=C71)=O,4T(DPP-BTI)2,,,0.78,4.89,33,1.27,"	Jia T, Peng Z, Li Q, Xie Y, Hou Q, Hou L. Synthesis of triphenylamine-based molecules with cyan terminals and their application for organic solar cells. Synthetic Metals 199, 14-20 (2015)."
2592,FC1=C(C2=CC=C(C(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)C5=NSN=C5C(C6=CC=C(C7=CC=C(C8=CC=C(CCCCCC)S8)S7)S6)=C1F,TPA-DFBT3T,,,0.53,10.43,53.1,2.94,"	Qi H, et al. Novel D (A-Ar) 2 type small molecules with oligothiophene, diketopyrrolopyrrole and benzo [4, 5] thieno [2, 3-b] indole units: investigation on relationship between structure and property for organic solar cells. Tetrahedron 72, 7430-7437 (2016)."
2593,CCCCCCC(S1)=CC=C1C2=CC=C(S2)C(S3)=CC=C3C4=CC=C(C5=CC=C(C(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)C8=NSN=C48,TPA-BT3T,,,0.89,5.18,34,1.54,"	Wang Y, Bai H, Cheng P, Zhang M, Zhan X. Effect of electron-withdrawing units on triphenylamine-based small molecules for solution-processed organic solar cells. Science China Chemistry 58, 331-338 (2015)."
2594,CCCCCCC(S1)=CC=C1C2=CC=C(S2)C(S3)=CC=C3C4=NC=C(C5=CC=C(C(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)C8=NSN=C48,TPA-PT3T,,,0.91,8.7,37,2.89,"	Wang Y, Bai H, Cheng P, Zhang M, Zhan X. Effect of electron-withdrawing units on triphenylamine-based small molecules for solution-processed organic solar cells. Science China Chemistry 58, 331-338 (2015)."
2595,S=C(S/1)N(CC)C(C1=C\C(S2)=CC3=C2C(OCC(CC)CCCC)=C(C=C(C(S4)=CC5=C4C(OCC(CC)CCCC)=C(C=C(C(S6)=CC7=C6C(OCC(CC)CCCC)=C(C=C(/C=C8C(N(CC)C(S/8)=S)=O)S9)C9=C7OCC(CC)CCCC)S%10)C%10=C5OCC(CC)CCCC)S%11)C%11=C3OCC(CC)CCCC)=O,DRBDT3,,,0.9,4.54,33,1.34,"	Wang Y, Bai H, Cheng P, Zhang M, Zhan X. Effect of electron-withdrawing units on triphenylamine-based small molecules for solution-processed organic solar cells. Science China Chemistry 58, 331-338 (2015)."
2596,CCCCCCC(C=C(C1=C(CCCCCC)C=C(/C=C2C(N(CC)C(N(CC)C/2=O)=S)=O)S1)S3)=C3C#C[Pt]([Pt](CCCC)(CCCC)CCCC)(C#CC4=C(CCCCCC)C=C(C5=C(CCCCCC)C=C(/C=C6C(N(CC)C(N(CC)C\6=O)=S)=O)S5)S4)[Pt](CCCC)(CCCC)CCCC,S-1,,,0.99,8.26,50,4.09,"	Ni W, et al. A new oligobenzodithiophene end-capped with 3-ethyl-rhodanine groups for organic solar cells with high open-circuit voltage. Science China Chemistry 58, 339-346 (2015)."
2597,CCCCCCC1=C(C2=CC=C(S2)C#C[Pt]([Pt](CCCC)(CCCC)CCCC)(C#CC3=CC=C(C4=C(CCCCCC)C=C(C5=C(CCCCCC)C=C(/C=C6C(N(CC)C(N(CC)C\6=O)=S)=O)S5)S4)S3)[Pt](CCCC)(CCCC)CCCC)SC(C7=C(CCCCCC)C=C(/C=C8C(N(CC)C(N(CC)C/8=O)=S)=O)S7)=C1,S-2,,,0.91,3.61,28,0.88,"	Cui C, Zhang Y, Choy WC, Li H, Wong W-Y. Metallated conjugation in small-sized-molecular donors for solution-processed organic solar cells. Science China Chemistry 58, 347-356 (2015)."
2598,CCCCCCC(C=C(C1=C(CCCCCC)C=C(/C=C(C#N)/C#N)S1)S2)=C2C#C[Pt]([Pt](CCCC)(CCCC)CCCC)(C#CC3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(/C=C(C#N)/C#N)S4)S3)[Pt](CCCC)(CCCC)CCCC,S-3,,,0.93,5.89,29,1.59,"	Cui C, Zhang Y, Choy WC, Li H, Wong W-Y. Metallated conjugation in small-sized-molecular donors for solution-processed organic solar cells. Science China Chemistry 58, 347-356 (2015)."
2599,CCCCCCC1=C(C2=CC=C(S2)C#C[Pt]([Pt](CCCC)(CCCC)CCCC)(C#CC3=CC=C(C4=C(CCCCCC)C=C(C5=C(CCCCCC)C=C(/C=C(C#N)/C#N)S5)S4)S3)[Pt](CCCC)(CCCC)CCCC)SC(C6=C(CCCCCC)C=C(/C=C(C#N)/C#N)S6)=C1,S-4,,,0.6,1.22,34,0.17,"	Cui C, Zhang Y, Choy WC, Li H, Wong W-Y. Metallated conjugation in small-sized-molecular donors for solution-processed organic solar cells. Science China Chemistry 58, 347-356 (2015)."
2600,CCCCCCCCC(C=C(C1=C(CCCCCCCC)C=C(C2=CC=C(/C=C3C(N(CCCCCCCC)/C(S\3)=C(C#N)\C#N)=O)S2)S1)S4)=C4C(C=C5)=CC=C5N(C6=CC=C(C7=C(CCCCCCCC)C=C(C8=C(CCCCCCCC)C=C(C9=CC=C(/C=C%10S/C(N(CCCCCCCC)C\%10=O)=C(C#N)/C#N)S9)S8)S7)C=C6)C%11=CC=C(C%12=C(CCCCCCCC)C=C(C%13=C(CCCCCCCC)C=C(C%14=CC=C(/C=C%15C(N(CCCCCCCC)/C(S/%15)=C(C#N)\C#N)=O)S%14)S%13)S%12)C=C%11,TCNR3TTPA,,,0.92,4.88,33,1.56,"	Cui C, Zhang Y, Choy WC, Li H, Wong W-Y. Metallated conjugation in small-sized-molecular donors for solution-processed organic solar cells. Science China Chemistry 58, 347-356 (2015)."
2601,CCCCCCCCOC1=C2C(C=CS2)=C(OCCCCCCCC)C3=C1C=C(S3)C4=CC=C5C6=CC=C(C7=CC8=C(C(OCCCCCCCC)=C(C=CS9)C9=C8OCCCCCCCC)S7)C=C6C%10=NSN=C%10C5=C4,SM1,,,0.99,5.76,44,2.5,"	Zhou Y, et al. High open-circuit voltage solution-processed organic solar cells based on a star-shaped small molecule end-capped with a new rhodanine derivative. Science China Chemistry 58, 357-363 (2015)."
2602,CCCCCCCCOC1=C2C(C=CS2)=C(OCCCCCCCC)C3=C1C=C(C(S4)=CC=C4C5=CC=C6C7=CC=C(C8=CC=C(C9=CC%10=C(C(OCCCCCCCC)=C(C=CS%11)C%11=C%10OCCCCCCCC)S9)S8)C=C7C%12=NC(C)(C)N=C%12C6=C5)S3,SM2,,,0.77,0.61,30,0.15,"	Kim J, et al. 2, 2-dimethyl-2H-benzimidazole based small molecules for organic solar cells. Macromolecular Research 23, 214-222 (2015)."
2603,N#C/C(/N=C/C1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)S1)=C(C#N)\N=C\C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)S4,T,,,0.62,1.69,27,0.28,"	Kim J, et al. 2, 2-dimethyl-2H-benzimidazole based small molecules for organic solar cells. Macromolecular Research 23, 214-222 (2015)."
2604,N#C/C(/N=C/C1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)C=C1)=C(C#N)\C=N\C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4,P,,,0.52,4.28,36,0.89,"	Jeux V, et al. One step synthesis of DAD chromophores as active materials for organic solar cells by basic condensation. Dyes and Pigments 113, 402-408 (2015)."
2605,CC(C=C1)=CC=C1N(C2=CC=C(C3=CC=C(C4=CC=C(N(C5=CC=C(C6=CC(CCCCCCCCCCCC)=C(C7=CC=C(C(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)S6)C=C5)C%10=CC=C(C)C=C%10)C=C4)C%11=NSN=C%113)C=C2)C%12=CC=C(C%13=CC(CCCCCCCCCCCC)=C(C%14=CC=C(C(C%15=CC=CC=C%15)C%16=CC=CC=C%16)C=C%14)S%13)C=C%12,(TPATh)2(MTPA)2B,,,0.84,3.65,35,1.18,"	Jeux V, et al. One step synthesis of DAD chromophores as active materials for organic solar cells by basic condensation. Dyes and Pigments 113, 402-408 (2015)."
2606,CCCCCCCCCCCCC1=C(C2=CC=C(C(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)SC(C(C=C5)=CC=C5N(C6=CC=C(C7=CC=C(C8=CC=C(N(C9=CC=C(C%10=CC(CCCCCCCCCCCC)=C(C%11=CC=C(C(C%12=CC=CC=C%12)C%13=CC=CC=C%13)C=C%11)S%10)C=C9)C%14=CC=C(C%15=CC(CCCCCCCCCCCC)=C(C%16=CC=C(C(C%17=CC=CC=C%17)C%18=CC=CC=C%18)C=C%16)S%15)C=C%14)C=C8)C%19=NSN=C%197)C=C6)C%20=CC=C(C%21=CC(CCCCCCCCCCCC)=C(C%22=CC=C(C(C%23=CC=CC=C%23)C%24=CC=CC=C%24)C=C%22)S%21)C=C%20)=C1,(TPATh)4TPA2B,,,0.8,3.18,33,0.83,"	Zhen H, Peng Z, Hou L, Jia T, Li Q, Hou Q. Comparative study on triphenylamine-based bi-armed and four-armed small molecule donors for solution processed organic solar cells. Dyes and Pigments 113, 451-457 (2015)."
2607,CCCCC(CC)CC(S1)=CC=C1C2=C(C=C(C3=CC=C(/C(C(N4CC(CC)CCCC)=O)=C/C5=CC=C(C6=CC=C(CCCCCC)S6)S5)C4=C3)S7)C7=C(C8=CC=C(CC(CC)CCCC)S8)C9=C2SC(C%10=CC(N(CC(CC)CCCC)C(/C%11=C\C%12=CC=C(C%13=CC=C(CCCCCC)S%13)S%12)=O)=C%11C=C%10)=C9,TIBDT,,,0.71,4.89,37,1.3,"	Zhen H, Peng Z, Hou L, Jia T, Li Q, Hou Q. Comparative study on triphenylamine-based bi-armed and four-armed small molecule donors for solution processed organic solar cells. Dyes and Pigments 113, 451-457 (2015)."
2608,CCCCC(CC)COC1=C2C(SC(C3=C4C(SC(C(OCCCCOCC5=CC(Cl)=C(Cl)C=C5)=O)=C4F)=C(C6=CC7=C(S6)C(OCC(CC)CCCC)=C8C(SC(C9=C%10C(SC(C(OCC(CCCC)CCCCCC)=O)=C%10F)=C(C)S9)=C8)=C7OC(CC)CCCCC)S3)=C2)=C(OC(CC)CCCCC)C%11=C1SC(C)=C%11,PTBDCB25,,,0.89,7.36,60,3.94,"	Fan L, Cui R, Jiang L, Zou Y, Li Y, Qian D. A new small molecule with indolone chromophore as the electron accepting unit for efficient organic solar cells. Dyes and Pigments 113, 458-464 (2015)."
2609,FC1=CC(C2=C(C=C(C3=CC=C(C4=C5C(C(N4CC(CC)CCCC)=O)=C(C6=CC=CS6)N(CC(CC)CCCC)C5=O)S3)S7)C7=C(C8=CC=C(OCC(CC)CCCC)C(F)=C8)C9=C2SC(C%10=CC=C(C%11=C%12C(C(N%11CC(CC)CCCC)=O)=C(C%13=CC=CS%13)N(CC(CC)CCCC)C%12=O)S%10)=C9)=CC=C1OCC(CC)CCCC,M1,,,0.76,16.22,67,8.3,"	Park S, et al. Enhancement of organic photovoltaic efficiency via nanomorphology control using conjugated polymers incorporating fullerene compatible side-chains. Macromolecules 48, 337-345 (2015)."
2610,FC1=CC(C2=C(C=C(C3=CC=C(C4=C5C(C(N4CC(CC)CCCC)=O)=C(C6=CC=CS6)N(CC(CC)CCCC)C5=O)S3)O7)C7=C(C8=CC=C(OCC(CC)CCCC)C(F)=C8)C9=C2OC(C%10=CC=C(C%11=C%12C(C(N%11CC(CC)CCCC)=O)=C(C%13=CC=CS%13)N(CC(CC)CCCC)C%12=O)S%10)=C9)=CC=C1OCC(CC)CCCC,M2,,,0.88,5.5,64,3.1,"	Qian D, et al. Modulating molecular aggregation by facile heteroatom substitution of diketopyrrolopyrrole based small molecules for efficient organic solar cells. Journal of Materials Chemistry A 3, 24349-24357 (2015)."
2611,CCCCCC(CC)C(S1)=CC=C1C2=C3C(SC(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(CCCCCC)S7)S6)C8=NSN=C58)S4)=C3)=C(C9=CC=C(C(CC)CCCCC)S9)C%10=C2SC(C%11=CC=C(C%12=CC=C(C%13=CC=C(C%14=CC=C(CCCCCC)S%14)S%13)C%15=NSN=C%15%12)S%11)=C%10,BDT(TBTTT6)2,,,0.8,11.4,60,5.5,"	Qian D, et al. Modulating molecular aggregation by facile heteroatom substitution of diketopyrrolopyrrole based small molecules for efficient organic solar cells. Journal of Materials Chemistry A 3, 24349-24357 (2015)."
2612,CCCCCC(CC)C(S1)=CC=C1C2=C3C(SC(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C7=CC=C(CCCCCC)S7)S6)C8=NSN=C58)S4)=C3)=C(C9=CC=C(C(CC)CCCCC)S9)C%10=C2SC(C%11=CC=C(C%12=C(F)C(F)=C(C%13=CC=C(C%14=CC=C(CCCCCC)S%14)S%13)C%15=NSN=C%15%12)S%11)=C%10,BDT(TffBTTT6)2,,,0.71,8.42,5.3,3.17,"	Liao X, Wu F, Zhang L, Chen L, Chen Y. Solution-processed small molecules based on benzodithiophene and difluorobenzothiadiazole for inverted organic solar cells. Polymer Chemistry 6, 7726-7736 (2015)."
2613,CCCCCCCCC1=C(C2=CC=C(C3=C(CCCCCCCC)C=C(/C=C4C(N(CC)C(S/4)=S)=O)S3)S2)SC(C5=CC6=C(C7=CC=C(C8=CC=C(CC(CCCCCC)CCCCCCCC)S8)S7)C(SC(C9=CC(CCCCCCCC)=C(C%10=CC=C(C%11=C(CCCCCCCC)C=C(/C=C%12SC(N(C)C\%12=O)=S)S%11)S%10)S9)=C%13)=C%13C(C%14=CC=C(C%15=CC=C(CC(CCCCCCCC)CCCCCC)S%15)S%14)=C6S5)=C1,DR3TBDT2T,,,0.73,9.13,62.5,4.17,"	Liao X, Wu F, Zhang L, Chen L, Chen Y. Solution-processed small molecules based on benzodithiophene and difluorobenzothiadiazole for inverted organic solar cells. Polymer Chemistry 6, 7726-7736 (2015)."
2614,CCCCC(CC)COC(C=C1)=CC=C1C2=CC=C(F)C(C#CC3=C(C=CS4)C4=C(C#CC5=C(F)C(C6=CC=C(OCC(CC)CCCC)C=C6)=CC=C5F)C7=C3SC=C7)=C2F,PBDTBPA(F)-DPP,,,0.91,13.2,,8.33,"	Zuo Y, et al. Device characterization and optimization of small molecule organic solar cells assisted by modelling simulation of the current每voltage characteristics. Physical Chemistry Chemical Physics 17, 19261-19267 (2015)."
2615,CCCCC(CC)COC(C=C1)=CC=C1C2=CC=CC(C#CC3=C(C=C([Sn](C)(C)C)S4)C4=C(C#CC5=CC(C6=CC=C(OCC(CC)CCCC)C=C6)=CC=C5)C7=C3SC([Sn](C)(C)C)=C7)=C2,PBDTBPA(H)-DPP,,,0.68,9.89,50,4.04,"	Chakravarthi N, et al. The effect of with/without resonance-mediated interactions on the organic solar cell performance of new 2D 羽-conjugated polymers. Polymer Chemistry 6, 7149-7159 (2015)."
